date,user_id,event_name,mobile_os_type,version
1/1/2020,0741d2813527501f6c9fd2c66bd59c0e,push_received,U683CL,11.3.1
1/2/2020,f5d1bd9f7a7be974367019665910989e,push_received,U683CL,11.3.1
1/3/2020,325b61cf1c4dc2a51eaf7ded19a48d98,push_received,U683CL,11.3.0
1/4/2020,ad32a2073e48423c2cd7ff3da30065d8,screen_view,U683CL,11.3.1
1/5/2020,05663e0cfd5550ea2777f28c90af7b7b,push_received,U683CL,11.3.1
1/6/2020,8d2f1bc552b468bc198fd4a6de083d99,push_received,U683CL,11.3.1
1/7/2020,d5474118fa090055700c297c22bd0721,push_received,L51,11.3.1
1/8/2020,00782a9c129f1e95326d9d9a7fc4b5c5,model_view,U683CL,11.3.1
1/9/2020,d1eddaa0dcfbfda8e2b0614ae6561acc,push_received,U683CL,11.3.1
1/10/2020,076ed1ad2e193da40fc32f37db2fa01e,user_engagement,L51,11.3.0
12/31/2019,7df88314dc96429d7f8af2ba3b7a7439,push_received,U683CL,11.3.1
12/30/2019,0ba79b098ee9fe0176a2c7eaa8fc8019,push_received,U683CL,11.3.1
12/30/2019,bb769683ae5a424402f346b0bc105fac,push_received,L51,11.3.1
12/31/2019,4a59ce05450218b1f0c79dff4ad7e9a4,push_received,U683CL,11.3.1
12/31/2019,c1c06c27b04d6b90c1dcaddffb1d2162,push_received,U683CL,11.3.1
12/30/2019,5535bfbd7dd13f316df6c6e12f66cfc9,push_received,U683CL,11.3.1
12/30/2019,ba0670e021fdb52ece73581ffadd9cb1,push_received,L51,11.3.1
12/31/2019,4a679ff10584e3780fa50705e3eb3069,push_received,U683CL,11.3.1
12/31/2019,b0895ec7104815058531ed4620b9123d,top_news_swipe,U683CL,11.3.1
12/30/2019,26540a8856fcbd60b2fa0f4cb8dcf48d,push_received,U683CL,11.3.1
12/31/2019,48576502bc109f53ccaea78c1aaf8301,user_engagement,U683CL,11.3.1
12/31/2019,fcefd5ccc0573b3483d9aa143d2b30b1,push_received,U683CL,11.3.1
12/31/2019,3b59a91af051f7e4319adc3c25e2b38c,push_received,U683CL,11.3.0
12/31/2019,6fd60c2c2a7b6ecb7a001c41cf5a6be8,push_received,L51,11.3.1
12/30/2019,c6e61a0ed304689a51d58808cb76dd38,push_received,U683CL,11.3.1
12/30/2019,e3a9e67e0cdc8f3d527b882d5ba3d45a,screen_view,U683CL,11.3.1
12/31/2019,13e5ca19f8a96d43e517b6f66c2d85ac,push_received,L51,11.3.1
12/30/2019,77938301c4fca32d751105a862e5fa96,push_received,U683CL,11.3.1
12/31/2019,5b9357dde2d33e6a55cbb947d8803f60,push_received,U683CL,11.3.1
12/31/2019,5b636b467a1b10c588ceaebe35d0cd37,push_received,L51,11.3.1
12/30/2019,466d9c7a163ba123347f960b8318ec1d,push_received,L51,11.3.1
12/30/2019,e3448d922a11d5ad332e73c2dd9b8d1a,push_received,L51,11.3.1
12/30/2019,f2135efdb862342e266537c6588cedbb,push_received,U683CL,11.3.1
12/30/2019,693411c3774055d946768bc426a6e552,push_received,U683CL,11.3.1
12/30/2019,232ef0be7297abb48f9c56d4cb202cb4,screen_view,U683CL,11.3.1
12/30/2019,9242e62cf67755532f4cdb4e9d8c4c00,push_received,L51,11.3.1
12/31/2019,35e474730c44ef3fe78528abbafbdbd9,push_received,L51,11.3.1
12/31/2019,f61b7f5a23da7b0f6633ef30c3ba09b1,push_received,L51,11.3.1
12/30/2019,e23ccb22b8a1b7d4a548e1a19ca7981b,push_received,U683CL,11.3.1
12/31/2019,36390ad8d7f7348d56499e5c9104bd3e,session_start,U683CL,11.3.1
12/30/2019,cdf4767a1b8a33eae5204e924ccf55c6,push_received,U683CL,11.3.1
12/31/2019,549ae1481b28d9dbf990990dcf9e6cad,push_received,L51,11.3.1
12/30/2019,a436655d354ef49e6e4cc8a74eb56a94,settings_clicked,U683CL,11.3.1
12/31/2019,6e20cad581db5b445156ea21e1c63a0f,app_update,U683CL,11.3.1
12/31/2019,a7e5d06ce0a2690f604b0d22ae6f8fc8,push_received,U683CL,11.3.1
12/30/2019,1cb941e2c80c3fc773053f85c22ca5ec,push_received,U683CL,11.3.1
12/31/2019,c33bd9fc0672156287bf630e96b29b86,push_received,L51,11.3.1
12/30/2019,a9a1867fa56d8e6a4d3482490a43b00a,push_received,L51,11.3.0
12/31/2019,cee634e0db2731d384227be785e9efbf,push_received,U683CL,11.3.0
12/30/2019,6bf292ac8ae4244116d6ef63f9d2d748,push_received,U683CL,11.3.1
12/30/2019,99fd9b4d272a054e2792976a2125d1ff,push_received,U683CL,11.3.1
12/30/2019,d075edc534885878447dd455a671be5b,user_engagement,U683CL,11.3.1
12/30/2019,2960d87b7d8ba34b55384867d0907f14,push_received,U683CL,11.3.1
12/30/2019,d2140a85f16c94d613ddfba28306f154,push_received,L51,11.3.1
12/30/2019,9b9dfb3ed44b811331e746c8d8972637,push_received,U683CL,11.3.1
12/31/2019,4ef8f2f7d6082e8efa036ece067ef44c,push_clicked,U683CL,11.3.1
12/31/2019,0f1653091bc5ce210bf63a0863a8463a,push_received,U683CL,11.3.1
12/30/2019,aff6ef9266d8cd7f4ef0711b59e6661b,push_received,L51,11.3.1
12/30/2019,0ccf9328319f1a4ccf81f6443bbb0229,push_received,U683CL,11.3.1
12/31/2019,d24ea0219ef010f166c5e2c61fdce9fc,push_received,U683CL,11.3.1
12/31/2019,ede521b27088dc0faad0bb9718597e87,push_received,U683CL,11.3.1
12/30/2019,fad76dabab32c5fcfab28da7a949b7c3,push_received,U683CL,11.3.0
12/31/2019,44faa68f20e0a5587f3750d336dac568,push_received,L51,11.3.1
12/31/2019,01082088d1a07f5a2fad9419c2fa4b0f,push_received,U683CL,11.3.1
12/31/2019,bda8b1dde42e90d7186c576d129a564a,push_received,U683CL,11.3.1
12/30/2019,d3dc9b92a9fc3db3eea01f160bf44e32,top_news_swipe,U683CL,11.3.1
12/30/2019,f1ef45b3ac834e96d46f441ca30105bf,push_clicked,U683CL,11.3.1
12/31/2019,dc4919ed22e88315ddcd47cb0c97947e,push_received,U683CL,11.3.1
12/31/2019,2556835a59b920c16bc64eb49133e117,push_received,U683CL,11.3.0
12/31/2019,3066a87ddd5ea7d2807b95f711cc3ba8,push_received,U683CL,11.3.1
12/31/2019,544ba905963e903e4ed088aeca161327,push_received,U683CL,11.3.1
12/31/2019,c93695a8b3676615d2eb78c11b599844,push_received,U683CL,11.3.1
12/30/2019,dab591294b6be09932fca1c2296ff245,user_engagement,L51,11.3.1
12/31/2019,0b8ac37a4a10ed1e94d3a026caf0b860,push_received,U683CL,11.3.1
12/31/2019,0bf566cde072c5b81854a54656650119,push_received,U683CL,11.3.1
12/30/2019,ef460e8a153b119ff2f313c44bee8bec,push_received,U683CL,11.3.1
12/30/2019,872e4f2f6f0de47dcd8d0d3187eef5e0,push_received,U683CL,11.3.1
12/30/2019,89c9575c66c478ba5836c2fe6264ed34,push_received,U683CL,11.3.1
12/31/2019,0b2c26db669618c0dfb36fe6af58f67f,user_engagement,U683CL,11.3.1
12/30/2019,1dd9fee3e393037b958433d637f75f2d,push_received,U683CL,11.3.1
12/30/2019,5515b1a8ed60963d9a1840ef6e561790,push_received,U683CL,11.3.1
12/31/2019,bf59c83bed4443dc3ed56c68aef1ea26,push_received,L51,11.3.1
12/31/2019,81100c2afa88e2afa430042e355e5ae1,push_received,U683CL,11.3.0
12/30/2019,96fe5592ec79d07160b93b062f8250a1,push_received,U683CL,11.3.1
12/30/2019,b4295033bb2d1fc9d10af7f2714f1e22,push_received,U683CL,11.3.1
12/31/2019,daf191185c5bc211c1a616486be6ae3a,push_received,L51,11.3.1
12/30/2019,df798444a3adf23701daaa7e581e43f3,push_received,U683CL,11.3.1
12/31/2019,7921a1bfdb90f0f879ba264e434791d9,push_received,U683CL,11.3.1
12/31/2019,f208dc7ad1c855ce09dedf546608a78a,push_received,U683CL,11.3.1
12/31/2019,dd166767329cf820f92ce381943ec9bb,push_received,U683CL,11.3.1
12/30/2019,7ecf5604d0c6a1cdec352127b26ecd11,push_received,L51,11.3.1
12/30/2019,b023eb5cfccbaaee4d838836652a902f,user_engagement,L51,11.3.1
12/31/2019,e00721378e225cc0be57c63fc9bccd43,user_engagement,U683CL,11.3.1
12/31/2019,c89c5414fef6b2638c1ba9b883c1ae0c,push_received,U683CL,11.3.0
12/30/2019,54dee52b1b115aed096b497f9f3d44cc,push_received,U683CL,11.3.1
12/30/2019,16c610448f7917d5794e6e139600fed2,push_clicked,U683CL,11.3.1
12/31/2019,8f59008d54913f7167f9e96196df6083,push_received,U683CL,11.3.1
12/31/2019,7a5e853dd703df5c37c28855ac052d57,push_received,U683CL,11.3.1
12/30/2019,acb4acaa8514cf056615c15bd51583d4,push_received,L51,11.3.1
12/31/2019,a14b443a524c8e70c3e19f39594d9ef8,push_received,U683CL,11.3.1
12/31/2019,c8eb742e480b877411e4cc89299de50d,push_received,U683CL,11.3.1
12/30/2019,757be59ff3864e05ecb13c1e0738aed4,push_received,U683CL,11.3.1
12/31/2019,b2306b56457c89e0b1885ef39f0e1b21,push_received,U683CL,11.3.1
12/31/2019,185c12d59c87cadac92f946eb742e937,push_received,U683CL,11.3.1
12/30/2019,70e3515e9cd5b8eacd97b1ad8261ea0f,user_engagement,U683CL,11.3.1
12/30/2019,39588c9a00490bd4aae929c7d1ad1cec,push_received,U683CL,11.3.1
12/30/2019,d2355a91bc0f89ad39a12f7ef7993622,push_received,L51,11.3.1
12/31/2019,e519d2cfec2a5a051d78d87917bbe739,screen_view,U683CL,11.3.1
12/30/2019,f2ee73108d46e3d7e50b995d52b20854,push_received,U683CL,11.3.1
12/30/2019,163599b4034ea768a1a724e3e4b96421,push_received,U683CL,11.3.1
12/31/2019,0be77871dcc788d720805c11e1f98df7,push_received,U683CL,11.3.1
12/31/2019,901e3bf79be6ff0644c1ecee928aca73,push_received,U683CL,11.3.1
12/30/2019,522dd80c1359a383ca5e6cbbc7c293c0,screen_view,U683CL,11.3.0
12/31/2019,25768c595814f7750c9954142efa826c,push_received,U683CL,11.3.1
12/31/2019,bf062d81a6317f6ff5d5ad299dd381a3,push_received,U683CL,11.3.1
12/30/2019,a2760cf757a12ecb680b13ee77bd4d7c,user_engagement,U683CL,11.3.1
12/30/2019,f91d80cece26516e0c54f94c34652358,push_received,U683CL,11.3.0
12/30/2019,778507366ad564302bab564a2e289932,push_received,U683CL,11.3.1
12/31/2019,f108c859e1983fc98ff7c4a95b681b83,push_received,U683CL,11.3.1
12/30/2019,088cf60228d31b280476126258370a6c,push_received,L51,11.3.1
12/30/2019,f8484b0f6febefc9756f419bf0d08fa3,push_received,L51,11.3.1
12/31/2019,6c69bd1c0812d81d93ff234a5b69ed54,user_engagement,L51,11.3.1
12/31/2019,d98a4c6b7d86da953b2db1e4f842ec41,push_received,U683CL,11.3.1
12/31/2019,70c0233fa0eb7c102f23c4bb1e908222,push_clicked,U683CL,11.3.1
12/30/2019,8a1443d51e5635472951112bafe138f9,push_received,L51,11.3.1
12/31/2019,66eda85cebeee57d44d8c3808a2010ce,session_start,U683CL,11.3.1
12/31/2019,a6678e4b524079d970c56db9ac8869ff,push_received,L51,11.3.1
12/31/2019,fd7b41b9c03a7fcbdd003aa6f5711c01,screen_view,U683CL,11.3.1
12/31/2019,fb20e1fd83ffc1927f446fa05e7ec9eb,user_engagement,U683CL,11.3.1
12/31/2019,55ce988d4d37ed9b030579a1e6a2e768,push_received,U683CL,11.3.1
12/31/2019,2ed43e6372fd525c6f13c8a5ddc0e6ae,push_received,U683CL,11.3.1
12/30/2019,7b4b0905728f72876eddfc8ec71b5c69,push_received,L51,11.3.1
12/31/2019,8fa818a816870f6b34db32a8c5d61ee1,push_received,U683CL,11.3.1
12/31/2019,7d04b3d034864ace25bb79dd55137276,push_received,L51,11.3.1
12/31/2019,ca2ad3684c788590af13ce191a0b8248,push_received,U683CL,11.3.1
12/30/2019,6e02789f142b305468a6b11b57f95e0f,push_received,L51,11.3.1
12/31/2019,71b94f8dbc1c9bfcae6aeda6369c8061,user_engagement,L51,11.3.1
12/31/2019,8dffd51bcc0f3abd7b8073b15cff82ba,dynamic_item_clicked,U683CL,11.3.1
12/31/2019,20d79dc832489b3f69cb92bbc2dc0541,push_received,L51,11.3.1
12/31/2019,7eb68e98e9ee557caeddd08893714abf,model_view,U683CL,11.3.1
12/31/2019,38572417a073e8f05229ac0cf4a0a383,push_received,U683CL,11.3.1
12/31/2019,517a0bc50fa781d6a654dfce8d6fe840,push_received,U683CL,11.3.1
12/30/2019,c7aff1ac60779546c03f8b396877c235,push_received,U683CL,11.3.1
