Date,Ticker,Name,Volume,Price,Change
2023-10-15,ABBEYBDS,Abbey Mortgage Bank Plc,500.0,2.06,0.0
2023-10-15,ABCTRANS,Associated Bus Company,503717.0,0.8,0.06
2023-10-15,ACADEMY,Academy Press,32344.0,1.75,0.0
2023-10-15,ACCESSCORP,Access Holdings Plc,23509789.0,15.85,0.1
2023-10-15,AFRINSURE,African Alliance Insurance,,0.2,
2023-10-15,AFRIPRUD,Africa Prudential Plc,111776.0,7.0,0.0
2023-10-15,AFROMEDIA,Afromedia Plc,,0.24,
2023-10-15,AIICO,Aiico Insurance Plc,654215.0,0.7,0.0
2023-10-15,AIRTELAFRI,Airtel Africa Plc,36266.0,1400.1,0.0
2023-10-15,ALEX,Aluminium Extrusion Industries,70.0,6.5,0.0
2023-10-15,ARBICO,Arbico Plc,,1.03,
2023-10-15,ASOSAVINGS,Aso Savings & Loans,,0.5,
2023-10-15,AUSTINLAZ,Austin Laz & Company,,2.03,
2023-10-15,BAPLC,Briclinks Africa Plc,,6.25,
2023-10-15,BERGER,Berger Paints,9075.0,11.8,0.0
2023-10-15,BETAGLAS,Beta Glass Company,53841.0,66.95,0.0
2023-10-15,BUACEMENT,BUA Cement Plc,440757.0,105.8,0.0
2023-10-15,BUAFOODS,BUA Foods,5316.0,202.8,0.0
2023-10-15,CADBURY,Cadbury Nigeria,23233.0,15.0,0.0
2023-10-15,CAP,CAP Plc,97992.0,20.15,0.0
2023-10-15,CAPHOTEL,Capital Hotel Plc,,3.02,
2023-10-15,CAPOIL,Capital Oil Plc,,0.2,
2023-10-15,CAVERTON,Caverton Offshore Support Group,638025.0,1.43,-0.05
2023-10-15,CHAMPION,Champion Breweries,435819.0,3.38,0.0
2023-10-15,CHAMS,Chams Plc,2504485.0,1.4,0.0
2023-10-15,CHELLARAM,Chellarams Plc,,3.48,
2023-10-15,CHIPLC,Consolidated Hallmark Insurance,3756296.0,1.15,0.1
2023-10-15,CILEASING,C&I Leasing Plc,430500.0,3.5,0.0
2023-10-15,CONOIL,Conoil Plc,7113.0,80.2,0.0
2023-10-15,CORNERST,Cornerstone Insurance Company,79695.0,1.55,0.0
2023-10-15,COURTVILLE,Courteville Business Solutions,1356210.0,0.6,-0.02
2023-10-15,CUSTODIAN,Custodian & Allied Plc,3136129.0,7.2,0.0
2023-10-15,CUTIX,Cutix Plc,363452.0,2.36,0.0
2023-10-15,CWG,Computer Warehouse Group,427894.0,8.65,0.0
2023-10-15,DAARCOMM,Daar Communications,6703022.0,0.21,-0.02
2023-10-15,DANGCEM,Dangote Cement,170620.0,310.1,0.0
2023-10-15,DANGSUGAR,Dangote Sugar Refinery,3911212.0,60.7,2.7
2023-10-15,DEAPCAP,Deap Capital Management & Trust,31891.0,0.27,0.0
2023-10-15,DUNLOP,DN Tyre & Rubber Plc,,0.2,
2023-10-15,EKOCORP,Ekocorp Plc,,5.79,
2023-10-15,ELLAHLAKES,Ellah Lakes Plc,1420100.0,4.35,0.38
2023-10-15,ENAMELWA,Nigerian Enamelware Plc,100.0,17.55,0.0
2023-10-15,ETERNA,Eterna Plc,608964.0,14.9,-0.1
2023-10-15,ETI,Ecobank Transnational Inc,76933.0,15.15,0.0
2023-10-15,ETRANZACT,E-Tranzact International,23223.0,9.0,0.0
2023-10-15,EUNISELL,Eunisell Interlinked Plc,,3.2,
2023-10-15,FBNH,FBN Holdings Plc,1384254.0,16.1,-0.1
2023-10-15,FCMB,FCMB Group Plc,2402227.0,5.9,0.0
2023-10-15,FIDELITYBK,Fidelity Bank Plc,5930612.0,8.25,0.0
2023-10-15,FIDSON,Fidson Healthcare,27831.0,15.19,0.0
2023-10-15,FLOURMILL,Flour Mills Nigeria,1098472.0,32.0,0.0
2023-10-15,FTNCOCOA,FTN Cocoa Processors,1198653.0,1.64,-0.08
2023-10-15,GEREGU,Geregu Power Plc,160969.0,339.5,0.0
2023-10-15,GLAXOSMITH,Glaxo Smithkline Consumer,175934.0,12.15,0.85
2023-10-15,GOLDBREW,Golden Guinea Breweries,10.0,3.15,0.0
2023-10-15,GOLDINSURE,Goldlink Insurance,,0.2,
2023-10-15,GTCO,Guaranty Trust Holding,33162942.0,34.7,0.0
2023-10-15,GUINEAINS,Guinea Insurance,724185.0,0.22,0.0
2023-10-15,GUINNESS,Guinness Nigeria,127935.0,65.0,0.0
2023-10-15,HONYFLOUR,Honeywell Flour Mill,99319.0,3.2,0.0
2023-10-15,IKEJAHOTEL,Ikeja Hotel Plc,1792.0,3.15,0.0
2023-10-15,IMG,Industrial & Medical Gases,3396.0,8.5,0.0
2023-10-15,INFINITY,Infinity Trust Mortgage Bank,,1.22,
2023-10-15,INTBREW,International Breweries,169870.0,4.6,0.0
2023-10-15,INTENEGINS,International Energy Insurance,,1.39,
2023-10-15,JAIZBANK,Jaiz Bank Plc,1041963.0,1.6,0.02
2023-10-15,JAPAULGOLD,Japaul Gold and Ventures Plc,5835024.0,0.96,-0.02
2023-10-15,JBERGER,Julius Berger Nigeria Plc,80938.0,33.0,0.0
2023-10-15,JOHNHOLT,John Holt Plc,342956.0,1.57,0.13
2023-10-15,JULI,Juli Plc,,0.79,
2023-10-15,LASACO,Lasaco Assurance,221997.0,1.95,-0.02
2023-10-15,LEARNAFRCA,Learn Africa,67166.0,3.1,0.0
2023-10-15,LINKASSURE,Linkage Assurance,514491.0,0.78,0.0
2023-10-15,LIVESTOCK,Livestock Feeds,540621.0,1.85,0.0
2023-10-15,LIVINGTRUST,LivingTrust Mortgage Bank,514.0,2.71,0.0
2023-10-15,MANSARD,AXA Mansard Insurance,311245.0,4.0,0.0
2023-10-15,MAYBAKER,May & Baker Nigeria,335585.0,5.1,0.0
2023-10-15,MBENEFIT,Mutual Benefits Assurance,124860.0,0.42,0.0
2023-10-15,MCNICHOLS,McNichols Plc,,0.66,
2023-10-15,MEDVIEWAIR,Medview Airline Plc,,1.62,
2023-10-15,MEYER,Meyer Plc,46787.0,3.04,0.0
2023-10-15,MORISON,Morison Industries,,2.55,
2023-10-15,MRS,MRS Oil Nigeria,5789.0,109.95,0.0
2023-10-15,MTNN,MTN Nigeria,224884.0,250.0,0.0
2023-10-15,MULTITREX,Multi-Trex Integrated Foods,,0.36,
2023-10-15,MULTIVERSE,Multiverse Mining & Exploration,8166.0,2.95,0.0
2023-10-15,NAHCO,Nigerian Aviation Handling Co.,765625.0,24.2,0.0
2023-10-15,NASCON,National Salt Company,1075264.0,55.0,2.6
2023-10-15,NB,Nigerian Breweries,35646.0,42.0,0.0
2023-10-15,NCR,NCR Nigeria,20200.0,3.96,0.0
2023-10-15,NEIMETH,Neimeth International Pharma,215956.0,1.65,0.06
2023-10-15,NEM,N.E.M. Insurance Company,243200.0,5.0,0.0
2023-10-15,NESF,Nigeria Energy Sector Fund,,552.2,
2023-10-15,NESTLE,Nestle Nigeria,6220.0,1025.0,0.0
2023-10-15,NGXGROUP,Nigerian Exchange Group,501860.0,22.5,0.0
2023-10-15,NIDF,Nigeria Infrastructure Debt Fund,121098.0,108.4,0.0
2023-10-15,NIGERINS,Niger Insurance Company,,0.2,
2023-10-15,NNFM,Northern Nigeria Flour Mills,13907.0,15.25,0.0
2023-10-15,NOTORE,Notore Chemical Industries Plc,,62.5,
2023-10-15,NPFMCRFBK,NPF Microfinance Bank,25388.0,1.97,0.0
2023-10-15,NSLTECH,Secure Electronic Technology,20100.0,0.3,0.0
2023-10-15,OANDO,Oando Plc,4395163.0,9.2,0.15
2023-10-15,OKOMUOIL,Okomu Oil Palm,131154.0,263.0,0.0
2023-10-15,OMATEK,Omatek Ventures,183915.0,0.46,0.0
2023-10-15,PHARMDEKO,Pharma-Deko Plc,,1.83,
2023-10-15,PREMPAINTS,Premier Paints,,10.0,
2023-10-15,PRESCO,Presco Plc,49252.0,182.0,0.0
2023-10-15,PRESTIGE,Prestige Assurance Company,100018.0,0.45,0.0
2023-10-15,PZ,PZ Cussons Nigeria,574576.0,19.75,0.0
2023-10-15,RAKUNITY,RAK Unity Petroleum Company,,0.3,
2023-10-15,REDSTAREX,Red Star Express Plc,13426.0,2.91,0.0
2023-10-15,REGALINS,Regency Alliance Insurance,30882.0,0.34,0.0
2023-10-15,RESORTSAL,Resort Savings & Loans,,0.2,
2023-10-15,RONCHESS,Ronchess Global Resources,,81.0,
2023-10-15,ROYALEX,Royal Exchange,60010.0,0.47,0.0
